omp_num_threads,graph,order,size,time,iterations,error,technique
"2","soc-Slashdot0902","82168","948464","61.951","55","0","pagerankUniform"
"2","soc-Slashdot0902","82168","948464","65.614","55","0","pagerankHybrid"
"4","soc-Slashdot0902","82168","948464","36.167","55","0","pagerankUniform"
"4","soc-Slashdot0902","82168","948464","38.795","55","3.6918e-8","pagerankHybrid"
"8","soc-Slashdot0902","82168","948464","27.14","55","0","pagerankUniform"
"8","soc-Slashdot0902","82168","948464","29.972","55","8.1809e-10","pagerankHybrid"
"16","soc-Slashdot0902","82168","948464","23.923","55","0","pagerankUniform"
"16","soc-Slashdot0902","82168","948464","26.815","55","2.5532e-8","pagerankHybrid"
"28","soc-Slashdot0902","82168","948464","25.211","55","0","pagerankUniform"
"28","soc-Slashdot0902","82168","948464","26.687","55","2.3944e-8","pagerankHybrid"
"32","soc-Slashdot0902","82168","948464","25.483","55","0","pagerankUniform"
"32","soc-Slashdot0902","82168","948464","26.861","55","5.7353e-8","pagerankHybrid"
"48","soc-Slashdot0902","82168","948464","44.1","55","0","pagerankUniform"
"48","soc-Slashdot0902","82168","948464","31.186","55","5.1949e-8","pagerankHybrid"
"2","soc-Epinions1","75888","508837","53.677","54","0","pagerankUniform"
"2","soc-Epinions1","75888","508837","53.778","54","6.0277e-10","pagerankHybrid"
"4","soc-Epinions1","75888","508837","36.694","53","0","pagerankUniform"
"4","soc-Epinions1","75888","508837","37.343","53","0","pagerankHybrid"
"8","soc-Epinions1","75888","508837","30.188","53","0","pagerankUniform"
"8","soc-Epinions1","75888","508837","31.787","53","2.7285e-12","pagerankHybrid"
"16","soc-Epinions1","75888","508837","28.097","54","0","pagerankUniform"
"16","soc-Epinions1","75888","508837","30.923","54","9.311e-10","pagerankHybrid"
"28","soc-Epinions1","75888","508837","28.967","53","0","pagerankUniform"
"28","soc-Epinions1","75888","508837","33.367","53","4.1437e-9","pagerankHybrid"
"32","soc-Epinions1","75888","508837","27.825","53","0","pagerankUniform"
"32","soc-Epinions1","75888","508837","30.518","53","5.4024e-10","pagerankHybrid"
"48","soc-Epinions1","75888","508837","51.899","53","0","pagerankUniform"
"48","soc-Epinions1","75888","508837","34.818","53","2.0387e-8","pagerankHybrid"
"2","coAuthorsDBLP","299067","1955352","152.696","44","0","pagerankUniform"
"2","coAuthorsDBLP","299067","1955352","161.188","44","0","pagerankHybrid"
"4","coAuthorsDBLP","299067","1955352","81.274","44","0","pagerankUniform"
"4","coAuthorsDBLP","299067","1955352","91.089","44","0","pagerankHybrid"
"8","coAuthorsDBLP","299067","1955352","46.535","44","0","pagerankUniform"
"8","coAuthorsDBLP","299067","1955352","56.473","44","0","pagerankHybrid"
"16","coAuthorsDBLP","299067","1955352","29.335","44","0","pagerankUniform"
"16","coAuthorsDBLP","299067","1955352","39.286","44","0","pagerankHybrid"
"28","coAuthorsDBLP","299067","1955352","26.737","44","0","pagerankUniform"
"28","coAuthorsDBLP","299067","1955352","36.032","44","0","pagerankHybrid"
"32","coAuthorsDBLP","299067","1955352","27.46","44","0","pagerankUniform"
"32","coAuthorsDBLP","299067","1955352","38.074","44","0","pagerankHybrid"
"48","coAuthorsDBLP","299067","1955352","40.016","44","0","pagerankUniform"
"48","coAuthorsDBLP","299067","1955352","34.274","44","0","pagerankHybrid"
"2","coAuthorsCiteseer","227320","1628268","126.879","47","0","pagerankUniform"
"2","coAuthorsCiteseer","227320","1628268","132.665","47","0","pagerankHybrid"
"4","coAuthorsCiteseer","227320","1628268","68.195","47","0","pagerankUniform"
"4","coAuthorsCiteseer","227320","1628268","75.015","47","0","pagerankHybrid"
"8","coAuthorsCiteseer","227320","1628268","38.101","47","0","pagerankUniform"
"8","coAuthorsCiteseer","227320","1628268","45.772","47","0","pagerankHybrid"
"16","coAuthorsCiteseer","227320","1628268","26.003","47","0","pagerankUniform"
"16","coAuthorsCiteseer","227320","1628268","33.7","47","0","pagerankHybrid"
"28","coAuthorsCiteseer","227320","1628268","21.651","47","0","pagerankUniform"
"28","coAuthorsCiteseer","227320","1628268","29.171","47","0","pagerankHybrid"
"32","coAuthorsCiteseer","227320","1628268","22.221","47","0","pagerankUniform"
"32","coAuthorsCiteseer","227320","1628268","30.227","47","0","pagerankHybrid"
"48","coAuthorsCiteseer","227320","1628268","54.101","47","0","pagerankUniform"
"48","coAuthorsCiteseer","227320","1628268","30.752","47","0","pagerankHybrid"
"2","soc-LiveJournal1","4847571","68993773","8019.333","50","0","pagerankUniform"
"2","soc-LiveJournal1","4847571","68993773","8628.62","50","0","pagerankHybrid"
"4","soc-LiveJournal1","4847571","68993773","4092.295","50","0","pagerankUniform"
"4","soc-LiveJournal1","4847571","68993773","4471.955","50","0","pagerankHybrid"
"8","soc-LiveJournal1","4847571","68993773","2117.542","50","0","pagerankUniform"
"8","soc-LiveJournal1","4847571","68993773","2392.423","50","9.4431e-12","pagerankHybrid"
"16","soc-LiveJournal1","4847571","68993773","1154.908","50","0","pagerankUniform"
"16","soc-LiveJournal1","4847571","68993773","1406.504","50","2.0492e-9","pagerankHybrid"
"28","soc-LiveJournal1","4847571","68993773","1006.282","50","0","pagerankUniform"
"28","soc-LiveJournal1","4847571","68993773","1307.508","50","3.1403e-9","pagerankHybrid"
